2 25
1.68377	0.150312	3.16546	-0.505646	0.0637663	0.809498	-0.291495	2
1.62992	0.381395	3.01465	-0.518207	0.068304	0.801515	-0.290465	2
1.5705	0.607079	2.85404	-0.525872	0.0758299	0.782755	-0.324042	2
1.52121	0.713732	2.8237	0	0	0	0	2
1.53338	0.584535	3.04347	0.570346	0.57979	-0.527313	-0.245949	2
1.42063	0.776244	3.12456	0.849783	0.0483279	0.427537	0.304543	2
1.38536	1.0117	3.10025	0.795601	-0.0852407	0.59912	0.0284338	2
1.37758	1.09744	3.08528	0.796819	-0.0957068	0.596382	-0.0157436	2
1.63453	0.497054	2.81437	-0.142508	0.633467	0.4805	-0.589517	2
1.63219	0.457167	2.56418	-0.535376	0.631486	-0.366955	0.424195	2
1.56194	0.601526	2.37614	0.88985	-0.429009	0.00965389	0.154998	2
1.51628	0.720031	2.33172	0.968239	-0.179725	0.0540566	0.165198	2
1.64784	0.163066	3.17386	-0.334102	-0.56942	0.742775	-0.111452	2
1.61537	-0.10697	3.2561	0.0442667	-0.0899204	0.151221	0.983406	2
1.81485	0.111426	3.20868	0.694669	0.174411	0.618027	-0.324127	2
1.73788	-0.0024059	3.11851	0	0	0	0	2
1.68892	0.134689	3.09893	-0.378345	0.523697	0.492836	-0.582846	2
1.69833	-0.0800046	3.04281	-0.0876709	0.54337	-0.0948674	0.829496	2
1.58239	-0.0970831	3.31198	0.684973	0.684239	-0.0415307	0.246787	2
1.61506	-0.123176	3.15089	0	0	0	0	2
1.58637	0.551429	2.89601	-0.528851	0.0744057	0.788419	-0.305247	2
1.3886	1.14187	3.06018	0	0	0	0	2
1.42045	1.11972	3.0713	0	0	0	0	2
1.50268	0.767209	2.3195	0	0	0	0	2
1.50831	0.742172	2.36544	0	0	0	0	2
